"order","header","sdkPath","partition","namespace","status"
"1","AdsHlp.h","/um/AdsHlp.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","matched"
"2","adsiid.h","/um/adsiid.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"3","AdsProp.h","/um/AdsProp.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"4","CmnQuery.h","/um/CmnQuery.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"5","DSAdmin.h","/um/DSAdmin.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"6","DSClient.h","/um/DSClient.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"7","DsGetDC.h","/um/DsGetDC.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"8","dsparse.h","/um/dsparse.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"9","dsquery.h","/um/dsquery.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"10","DSRole.h","/um/DSRole.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"11","Iads.h","/um/Iads.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"12","NtDsAPI.h","/um/NtDsAPI.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"13","ntdsbmsg.h","/um/ntdsbmsg.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"14","ObjSel.h","/um/ObjSel.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"15","schedule.h","/um/schedule.h","ActiveDirectory","Windows.Win32.Networking.ActiveDirectory","queued"
"16","adoctint.h","/um/adoctint.h","Ado","Windows.Win32.System.Ado","queued"
"17","adodef.h","/um/adodef.h","Ado","Windows.Win32.System.Ado","queued"
"18","adogpool_backcompat.h","/um/adogpool_backcompat.h","Ado","Windows.Win32.System.Ado","queued"
"19","adogpool.h","/um/adogpool.h","Ado","Windows.Win32.System.Ado","queued"
"20","adoguids.h","/um/adoguids.h","Ado","Windows.Win32.System.Ado","queued"
"21","adoid.h","/um/adoid.h","Ado","Windows.Win32.System.Ado","queued"
"22","adoint_backcompat.h","/um/adoint_backcompat.h","Ado","Windows.Win32.System.Ado","queued"
"23","adoint.h","/um/adoint.h","Ado","Windows.Win32.System.Ado","queued"
"24","adojet.h","/um/adojet.h","Ado","Windows.Win32.System.Ado","queued"
"25","adomd.h","/um/adomd.h","Ado","Windows.Win32.System.Ado","queued"
"26","icrsint.h","/um/icrsint.h","Ado","Windows.Win32.System.Ado","queued"
"27","AboutData.h","/um/alljoyn_c/AboutData.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"28","AboutDataListener.h","/um/alljoyn_c/AboutDataListener.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"29","AboutIcon.h","/um/alljoyn_c/AboutIcon.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"30","AboutIconObj.h","/um/alljoyn_c/AboutIconObj.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"31","AboutIconProxy.h","/um/alljoyn_c/AboutIconProxy.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"32","AboutListener.h","/um/alljoyn_c/AboutListener.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"33","AboutObj.h","/um/alljoyn_c/AboutObj.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"34","AboutObjectDescription.h","/um/alljoyn_c/AboutObjectDescription.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"35","AboutProxy.h","/um/alljoyn_c/AboutProxy.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"36","AjAPI.h","/um/alljoyn_c/AjAPI.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"37","ApplicationStateListener.h","/um/alljoyn_c/ApplicationStateListener.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"38","AuthListener.h","/um/alljoyn_c/AuthListener.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"39","AutoPinger.h","/um/alljoyn_c/AutoPinger.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"40","BusAttachment.h","/um/alljoyn_c/BusAttachment.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"41","BusListener.h","/um/alljoyn_c/BusListener.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"42","BusObject.h","/um/alljoyn_c/BusObject.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"43","DBusStdDefines.h","/um/alljoyn_c/DBusStdDefines.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"44","Init.h","/um/alljoyn_c/Init.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
